,real_pc_y,real_pc_cm,real_pc_xall,real_pc_xmarket,real_pc_xhome,pc_hours,productivity,real_pc_kall,real_pc_kmarket,real_pc_khome,solow_residual,relative_price_investment,tau_k,tau_n,return_business_capital_pre_tax,return_business_capital_pre_tax_no_gain,return_business_capital_after_tax,return_business_capital_after_tax_no_gain,return_all_capital_pre_tax,return_all_capital_pre_tax_no_gain,return_all_capital_after_tax,return_all_capital_after_tax_no_gain,return_housing_capital_pre_tax,return_housing_capital_pre_tax_no_gain,return_housing_capital_after_tax,return_housing_capital_after_tax_no_gain
1947-01-01,,,,,,,,,,,,1.9306153198799028,0.43804807172292837,0.15610423507189283,,,,,,,,,,,,
1947-04-01,,,,,,,,,,,46.21230073816718,1.972670083883226,0.39429019169585583,0.15579906628837387,21.980660563505406,12.177364998519803,16.732350425915765,7.250403854206211,17.604767879814265,8.069162874963997,14.436336341313872,5.09607900452087,11.688527204182542,2.518758059713999,11.28488603418103,2.1402468246950246
1947-07-01,,,,,,,,,,,44.71497325145876,1.981206776102929,0.38667475232405485,0.14930608647259944,13.803507645553893,11.90819214441552,9.01933103007928,7.184217536178061,9.763915272924816,7.91938970110162,6.866909334932347,5.05909455198128,4.27895850929918,2.5041481580153846,3.901049869687312,2.1310759947581914
1947-10-01,,,,,,,,,,,44.89054888581099,1.967306309981387,0.3962560889227459,0.14855332261712384,8.847126193069222,11.868778351310016,4.122988962277896,7.046074804234892,4.979674907928366,7.920717193460436,2.106409467596282,4.987079428229446,-0.3439146277742444,2.4849312101915544,-0.7119856138204428,2.1090479989791966
1948-01-01,22.534526867561528,11.615918212276936,5.973525740677616,2.402576861868629,3.570948878808986,0.4817769871977979,46.77377182050785,55.463342631178975,24.422514380751537,31.040828250427438,45.54078602048018,1.9575980145401866,0.3701083239422592,0.1471687287147296,10.385909838368779,12.527080389261535,5.688524629218317,7.761151677591616,6.252649588284553,8.33354809333473,3.3843318504146236,5.423057726394287,0.49396192219151036,2.489892489295009,0.1258500858300149,2.1163082772646113
1948-04-01,22.86468614250949,11.745453075315773,6.032649798166883,2.3597176770689354,3.672932121097947,0.48093902431124613,47.541756827186276,55.90524340131705,24.67662057769559,31.228622823621468,46.2203961588327,1.994678351167581,0.3606435852261383,0.12914787885698176,21.745687205300545,13.19884160213498,16.56716540017136,8.296906207105659,16.94431537603871,8.653812097692093,13.836281296003182,5.713090203272286,10.422023944905456,2.4839277349711253,10.07029438389515,2.151345433247398
1948-07-01,23.11927909176647,11.700411551308227,6.14355347833353,2.4185581095260265,3.7249953688075035,0.4837528692771843,47.79150793732949,56.24565009544443,24.79783037879543,31.447819716648993,46.49967610688023,2.0427588021688754,0.3588298444965221,0.12213304886215176,23.69175984106264,12.7649389584366,18.63829958930998,8.05185158051338,19.05274571304758,8.438251465273193,16.009848359762113,5.601833473720252,12.706400331696454,2.524048147764746,12.361677450961505,2.2029660899635095
1948-10-01,23.225351306937885,11.784435693716066,6.1273718323179995,2.522211443023448,3.605160389294552,0.4798889938211717,48.39734106423932,56.71879100394963,24.983104024581557,31.735686979368072,47.049014164840635,2.0776846575097614,0.34138151095398533,0.12225994860491005,20.774188808227013,13.085863305686107,15.936817891985244,8.482502327682418,16.10111546089619,8.638813039256155,13.187274078763211,5.867036630658928,9.73870907334755,2.587775011590643,9.39061308572644,2.2568405059825603
1949-01-01,22.8645697376602,11.769133040100817,5.8958106578645655,2.4031261634600116,3.4926844944045534,0.4723880380881279,48.402092970429166,57.0861962509092,25.235426002399123,31.850770248510067,46.574868808490976,2.0823509686832526,0.33906633986223367,0.12698709989897877,13.222298573376445,12.239454975217946,8.925066059126841,7.970364746042535,9.142353800730007,8.186222917424857,6.537820766735791,5.598872761581086,3.590010044352665,2.670636606942667,3.24579234531166,2.328713640365554
1949-04-01,22.580721747607324,11.743923382366235,5.974578488960301,2.3134697255295347,3.661108763430766,0.46699666788651556,48.35306823451393,57.73270556869388,25.547693044797178,32.18501252389671,46.08313458386696,2.0927692994112626,0.32711028590370134,0.12343786442785148,13.73551908150552,11.547410064247131,9.796557016752683,7.665669838541467,9.97299779696541,7.839536633233779,7.565647652380547,5.467395309189937,4.827533744517654,2.769567098054071,4.478115395577209,2.425308437171547
1949-07-01,22.74535393698751,11.593446624002295,6.026915405927806,2.194993333800066,3.83192207212774,0.45805456140238554,49.65642928508353,58.36459356233796,25.716121587417916,32.64847197492005,47.227085627884584,2.0967905420210067,0.32716297155601304,0.11910116688732582,12.809957347992729,11.970990663767989,8.758700435028643,7.942454584734238,8.896926490246493,8.0799019800059,6.441516346541487,5.638360824655164,3.625803611979017,2.838650886374161,3.281052007780194,2.4958660477961914
1949-10-01,22.386349340389504,11.61601775955358,6.205816908141802,2.1334933446296835,4.072323563512119,0.4508862593884762,49.64965969633107,58.943173013277764,25.73846938259136,33.20470363068641,46.75545209795858,2.0813213519288647,0.3478813095495291,0.11534988976179036,7.843522596583941,11.000571964946504,4.003116885900226,7.075769655871089,4.4550595155177675,7.537684397055355,2.125880551954995,5.156994572352502,-0.08882260712161916,2.893037153281486,-0.422665511874043,2.551745965658725
1950-01-01,23.22265158187555,11.698223267456495,6.510097866382649,2.1922525195925378,4.3178453467901114,0.45100254614894975,51.49117622543522,59.607813192631255,25.69319546661325,33.91461772601801,49.26467043369596,2.086669242573593,0.4014108628485956,0.12043174611114395,13.381267390633589,12.256178355617031,8.295502890438256,7.208526771548174,9.325818826130972,8.231086049321789,6.304995737347685,5.233057381928052,4.004619822184496,2.950147988181806,3.6513703896995375,2.599589232966326
1950-04-01,23.912012807950294,11.88854860188329,6.942952002030863,2.3993561308532216,4.543595871177641,0.45979667429481913,52.005623669687616,60.81105436625865,26.188598647313984,34.62245571894467,50.43997123537772,2.102778029517377,0.42506929806346405,0.12110804254485859,16.773689971795047,13.3433498055604,10.815880116900466,7.51814245197675,12.130628960783163,8.803479982420082,8.640792965895127,5.391903634123518,6.154971209142168,2.962206956614466,5.789724312902078,2.6052339615188824
1950-07-01,24.83135494898386,12.077707165070395,7.873851278328734,2.604504859742527,5.269346418586208,0.47062027902262904,52.76303647720604,62.369919195175854,26.877523209015173,35.49239598616069,51.58502178327131,2.099591748297157,0.4574199601467454,0.12256415570605017,13.438014936014063,14.105706658757345,6.8417574299825645,7.480134421184026,8.5489543700223,9.194960817023357,4.71659276351073,5.345429598367946,2.2945037442424043,2.9124081544889213,1.9399116732832677,2.55621017518195
1950-10-01,25.538002341859098,12.02161197190772,7.429745435147044,2.6626134019819734,4.767132033165071,0.4747179684200834,53.796156962106444,65.02446578424278,27.847095168490796,37.17737061575198,52.534510117382695,2.1407496226292237,0.4665126662236379,0.13659797751680097,23.333375990526072,14.409524903926908,16.026859515076943,7.506189207958669,17.992001807613555,9.362295873798999,13.728652439319067,5.336074281030978,11.123505758066464,2.8768976495905596,10.709304684919928,2.4859817547573604
1951-01-01,26.17208936431725,12.398310917860291,7.423616391545176,2.6160096599368172,4.807606731608358,0.4809712268010711,54.41508328551634,66.91035076656497,28.80322288785317,38.10712787871181,52.877540853191284,2.1486627511319405,0.5502783171324896,0.142809696004042,14.953785055402658,13.321076969926725,7.387673551356699,5.8363872206175005,10.333545513814645,8.75039290652586,5.901446198542493,4.366319243512917,4.310047076627077,2.7922857675867663,3.9166298604113026,2.4031717385148976
1951-04-01,26.71851478584424,12.350492367503083,6.852809694058772,2.691477480950723,4.161332213108049,0.48432316917581014,55.16670786432142,68.21726027054692,29.03787379058089,39.17938647996603,53.321682539725515,2.175672225335775,0.480053095937669,0.14681378412842186,18.37019263623503,12.766412820241403,11.864030142945637,6.494266417933847,13.933478103238993,8.488923900015921,10.063277564826677,4.758871953267851,8.04670121607549,2.8158013275650706,7.626457459890434,2.410918260842676
